408 6 590
408 7 590
408 1 589
408 5 586
408 7 586
408 1 585
408 1 479
408 1 394
738 6 315
738 8 310
738 8 307
408 1 307
738 6 302
738 5 301
298 6 295
298 7 295
298 5 294
298 1 294
782 8 289
625 8 288
625 8 287
625 29 287
782 5 282
782 4 280
782 3 279
625 8 268
625 6 267
625 7 267
625 4 265
625 3 263
625 2 262
782 2 260
768 8 257
625 2 256
768 8 255
768 8 254
768 8 253
880 19 249
880 14 249
880 34 249
880 15 249
880 8 248
880 7 248
880 5 248
880 6 248
850 5 219
633 6 213
633 7 213
633 13 213
633 14 213
633 15 213
633 25 213
647 1 196
374 1 193
647 2 165
844 30 162
844 14 162
887 7 162
887 6 162
844 25 162
844 7 162
844 8 162
844 6 162
844 13 147
844 25 145
844 7 145
844 8 145
844 6 145
727 1 144
844 13 141
844 15 141
844 8 136
844 8 133
844 8 132
844 8 131
844 29 130
777 15 129
777 14 129
777 29 129
777 13 129
777 8 129
844 8 127
844 6 127
844 25 127
777 8 123
777 29 123
777 29 122
77 7 121
77 6 121
77 5 121
777 8 121
777 8 120
777 29 120
777 6 120
777 7 120
77 1 120
777 7 119
777 6 119
844 14 115
887 14 115
844 13 115
844 30 115
844 6 114
844 8 114
887 19 114
844 25 114
887 136 114
887 6 114
887 7 114
887 14 113
887 19 113
887 136 113
887 8 112
887 6 110
887 5 109
675 13 109
675 14 109
675 15 109
675 8 107
675 7 107
675 5 106
887 4 106
255 14 105
255 15 105
255 13 104
530 25 104
530 5 104
530 25 103
887 3 101
530 2 100
255 8 99
530 4 98
530 3 98
255 7 98
255 6 98
255 5 98
530 7 97
255 3 97
255 4 97
178 14 96
178 13 96
178 15 96
728 15 96
178 1 96
728 8 95
728 6 95
728 1 95
728 5 95
444 6 95
887 2 95
444 7 95
728 7 95
178 8 94
887 1 93
178 5 93
178 21 93
178 7 93
178 6 93
628 7 92
628 1 92
178 3 92
628 6 92
628 5 92
178 4 92
628 6 91
444 27 91
628 7 91
628 25 91
444 15 91
444 29 90
628 27 90
628 14 90
628 26 90
444 8 90
628 1 89
628 7 89
628 5 89
255 8 88
711 14 88
711 13 88
711 15 88
164 6 86
164 7 86
444 8 86
444 6 86
144 6 84
144 7 84
115 7 83
844 14 83
115 14 83
115 5 83
844 15 83
115 13 83
844 13 83
844 6 83
115 1 82
844 29 82
844 25 81
844 6 81
844 15 81
844 7 81
122 15 81
844 14 81
122 30 81
122 13 81
844 13 81
712 15 79
444 13 79
164 4 79
444 14 79
444 15 79
712 14 79
444 8 78
712 8 78
444 7 78
408 1 78
575 8 78
712 34 78
712 25 77
712 7 77
712 5 77
712 6 77
712 3 76
144 29 75
144 13 75
144 14 75
144 15 75
575 8 75
164 3 75
144 8 75
712 7 75
144 30 75
712 6 74
712 5 74
768 8 73
790 34 73
790 8 73
790 19 73
768 6 73
790 14 73
493 5 72
127 5 72
127 4 72
493 7 72
493 6 72
844 8 72
790 6 72
790 5 72
790 7 72
794 4 71
575 8 71
712 4 71
844 8 71
493 3 68
575 8 68
293 5 68
293 6 68
293 7 68
436 14 66
436 34 66
444 13 66
444 30 66
293 4 66
436 8 66
444 14 66
377 8 65
505 14 65
505 7 65
575 29 65
505 25 65
436 8 65
505 30 65
444 7 65
505 6 65
505 13 65
444 6 65
575 8 65
293 3 64
365 8 64
841 13 64
444 4 64
151 21 64
712 3 64
151 7 64
841 30 64
151 6 64
841 14 64
841 15 64
151 5 64
808 30 63
575 7 63
575 6 63
122 6 63
122 7 63
844 8 63
436 6 63
436 25 63
436 7 63
151 1 63
444 3 62
436 19 62
436 34 62
436 14 62
575 5 62
436 8 62
622 6 61
808 8 61
622 7 61
296 7 61
436 8 60
214 6 60
844 7 60
808 8 60
622 5 60
844 6 60
214 27 60
255 8 60
214 26 60
214 7 60
575 4 60
214 14 60
808 6 59
144 8 59
808 25 59
436 14 58
436 7 58
444 2 58
712 1 58
570 1 57
436 19 57
959 7 57
436 34 57
959 6 57
575 3 57
100 19 56
100 14 56
100 15 56
600 14 56
345 6 56
257 14 56
345 282 56
257 1 56
529 6 56
345 8 56
